Run ID,Distance,Time,Time Changed,Moving Time,Elevation Gain,Elevation Over Time,Start Latitude,Start Longitude,Polyline,Difficulty
2877178235,4.7147781953392185,1940,0:32:20,237,132,0.06804123711340206,33.78,-84.39,m}cmEjebbO?KGc@@?D[Bk@BoBAo@KcAi@C]I?a@Bk@?o@Do@@yAG}DDk@Ck@DiAFQj@@h@GnAXf@?bAEj@c@f@Ed@Bb@Kr@Nh@RtADnAIh@Kh@Ah@IXUDYBDLg@FgAHm@LiAjCC\Q@}CEoANk@Vg@H}AC_@FGP?Mc@E?Kc@Es@B{BBk@GiCDcEPi@?GEk@Ao@?{AKgCLaBCs@DaEC{A@o@@cEBo@A_EGsAFk@@c@?aHGyADA@}DBk@?uDK]IEO]Ck@@kDJ}@?mDHqAOKBeEAkCDIFBVBPMr@Ox@a@|B{@T^d@INERO^VRA`A{@f@Cn@f@d@APWh@HJAfA^b@VnAGZLlAEXEh@QbAg@z@m@RSNNXf@Pf@h@hATZbAvBJj@Fj@Ap@Ij@LhAB@f@?`CRZGvBDb@Af@DhABd@Cf@Bf@ExBDlAAd@?f@DxBB`C@f@@f@ArA@AjAEl@BfFI|A@l@Cl@@zAArC?LYBmACg@E}CCe@Oi@?c@La@?Gf@XlAXnCBn@Kl@Dp@Dj@AJe@Eg@?i@EmA@e@Ei@?YJ?`@C\EtADj@?zC?lAGj@Ar@Bp@B~AEjC@l@EzAEh@Kj@[~@k@fAQl@YtAGh@A~A@n@CxAEt@Kn@FnADdDGn@YASp@@FB~AGl@Fl@Nj@E\FJ_@fC@@]\yAZa@SEGD_@e@i@mAUW?QFYGy@g@SEC@Qf@c@vBQd@A`@Gd@@j@_ANQE_@Do@Mc@SkA?,1
2874874133,7.811008709138631,3101,0:51:41,486,171.6,0.05533698806836504,33.77,-84.39,sscmEr`bbOh@EjC{@JYAo@BUVc@bAMpAEXi@bAm@f@@fClA^ZNJrBL~CElBNhA@f@CpBi@f@I`DCvBDTDvCM~C@n@FLUh@JxBBtBNd@Ab@J`CNPEDBQe@Gm@A{@FeBGi@P_@BUBk@Pg@Ho@ESGs@Eq@B]EKAo@Jy@@o@Gq@Mk@FWNsAAKFo@M{BKs@BOJGOCJo@`@eBAq@YOA_@W}@CYDa@JQDqBCo@Bq@Ss@Ds@j@g@QKAk@?kCBqAFo@Jk@Ng@p@qAh@qALi@L{AEaICm@BaAAqBBwAGk@EaBBqALOKu@CiC@k@M}@ByAZy@Gg@D_BC_BB}DE_BDaB?oCDwACk@A{ACwA?_EFyA?}ABq@AyGEaBDiCGkCEi@Ko@Sg@MW[[o@_ByAyCc@qAi@qAYi@wAaDs@gA_AkBEMHk@aAmB^LBPRj@`@N^Q?i@Gk@?m@Ng@ZY`@FTd@Tj@V^^Zl@?f@OJq@Bo@Ra@J\Gl@Ld@f@CPU@kABq@f@KlAXfAL`@MzAoA^a@b@Sj@E`@M^[Li@Ti@`@Ud@QhAUd@Q`@WNSC]APSVc@ZoBh@e@R]b@Ql@Y`@c@Rg@?e@R_Al@y@z@Qf@MJo@[c@[iBcBWd@CP@j@DvACj@Q`@e@AOe@Du@EO]HIxAG\a@L_@Aa@][e@s@oAc@ISFa@BYb@_Az@Y^Sb@Bn@Nh@Gz@DjCJj@?j@Gj@@h@Jl@DbBHj@Bl@Qj@uBDsB?iANi@JgAd@mCvA]XoIrI{ClCeDtBa@Rg@RsALgAf@oBr@]^g@NcDb@mG^}KhBiGtAkBh@cBx@cCzAiD`CwBjBcAp@e@`@i@p@Jp@Bj@?~ACj@A~JEp@BzAFxA?`BFjLAp@Ep@D~AI~DB`EKj@En@Fp@@p@Ct@H|@Bl@`@v@EvC@bCEbAUn@Gp@f@zFsAZHp@FR\^HTHj@FPFp@DdCFl@DzAFp@Ar@Kp@Dt@@Lj@@h@T`@^Vf@Gn@W\Ab@LF`@^PXTL`AIlACd@Oj@BfDId@IhA[d@?`@F`@IfCFDn@?d@]`BGlBE|EFxBBFVHB\Gr@DnEDj@j@Bb@LHf@,2
2872482514,6.292812475145151,2510,0:41:50,209,132.5,0.052788844621513946,33.78,-84.39,}}cmE~dbbODD?m@nAD`@CDu@TgAd@gAXa@^[NSn@gAd@ChEErB?j@AjBLbAAd@@rAHTMEcHJoF?k@AO?cEGm@De@Ey@?yAC}AJa@ZYd@i@GQeA_CBUMa@gA@WR[q@Im@?g@Qm@EYIsACMGiAAaB@q@E_AY[[MHODm@UkCAaA@qFEkAJ_BAwADyCPaBX_BBq@@_BkByHSm@q@kDy@_FMm@Qk@Km@[Eg@@c@CkA?kAEyBi@uE}@e@EQIQe@c@OmAYg@Ke@OwAUe@OiASmAg@mAa@oASc@M_@]o@iA_@wAu@sBm@gCGqCAqCMuCAk@KcBG_EIk@QeIGcAZEj@n@m@u@LeAe@YEKGo@C}AUyDAaEEkCKwAAy@Em@GcCMk@MKCm@a@Ue@Ac@DgBHe@JYBMDwCX_@HGb@O`ECfC@n@M|D@r@Cp@?~AD~@FDIl@NTKj@]~@m@`CWf@Mf@Gh@?p@Gj@C~A@n@DPj@Nb@Nd@@f@T\^Nj@d@`CAD}@r@a@b@W^m@jA_@rAQfB]xECfAEFHAAl@ANSn@K~@SfCIp@Mn@YfCQfC]fDLZ`@Dh@Ch@@b@NX\Th@Nn@Hh@\rA\Zd@Hh@@f@AjAIb@Hd@PTb@Bj@Cl@YxAGj@ChCGzAF`FKh@Sb@y@dAQd@Oh@El@C`BBn@EpA_@jCg@~AGh@b@v@Lb@@n@CnBFNHd@@l@WdALTFBd@?b@TRd@Bb@~@Pb@l@FZC^?\G^Af@Dj@AVBp@An@Pr@Xp@?t@GV\Hv@Qd@Gf@?f@Pd@Aj@@d@Jd@BNd@YhBMf@g@^CFCXAzAGfAEf@Hr@Rl@Nx@NfBOxAKl@EHEv@@x@Ff@D@LC@v@Fl@DnCEp@Sl@?HDPf@NtADvB@RPb@LrBBd@Ch@Bd@?zCId@BlACvDJ^RJ\,2
2869977320,3.131897220233834,1253,0:20:53,147,44.8,0.035754189944134075,33.78,-84.39,s}cmEnebbO?a@^C`AFHARg@B]X]FClAWj@IlACrB_@`@MNe@@_BBGd@GdCFnAGf@If@Dp@VpAJd@JlABxBCtB?nADb@Dd@Ef@Qb@KdAS~CCzB?FDNB`@Ef@@xCKlADx@IN?TDJh@FdA@|AAn@@Vh@Hb@Lt@Nr@V`@Xd@Lf@If@OVa@XU`@JJ@AIb@FAvDFh@Zb@\XVd@Rd@p@jADBXG`A{@b@Y`@Q^UTWGa@k@{@o@kAY_@\Vv@bAT`@EZU\_@`@[b@{AvAc@@[e@Sc@]Ya@k@NWbAu@Nm@AiDImBG?@@QpEIb@k@@En@U^]ADq@D{CKKOGMSGoC@aBwBo@g@EuA?oAOuABSBERoAMkA?gBYgALaA@k@GeD@_CFi@J}A`@s@Dq@GkAOuABk@FmAAcAEGFe@Gg@SkAIiASc@MWQk@Gg@BmAPi@@a@^OxAGTEj@IRGHqBVoBHe@JgAd@Ml@O\sAASPFf@,1
2865254932,5.456819673109043,2312,0:38:32,296,124.7,0.05393598615916955,33.78,-84.39,y|cmEnfbbOKC_@oAy@?MFwBIe@@kAEc@GGKY[gBFmACe@Dk@Gg@BqAEuBD_@G]?_@U@qD?m@Es@?a@C[L_CB_DEy@DsDGm@AmAc@{A}BOmA@c@Bc@Cc@Ac@IgECiAFe@Ii@BgEDGL_@F_@?QE_BK{@QqBJi@AuALUGM[c@AoABcBGECmAAe@CwA@Sc@B_@p@Wb@c@d@QNKNk@q@eDIeBbBiAfBcAjBw@~@g@BOEo@@k@Om@Wk@_@c@y@m@g@OmANqAl@AIMWg@VI@a@{AIk@O_EYgCQaAs@cCy@yBi@kAY]a@Me@Hc@LgB|@{@v@e@F{@u@e@Ke@H_@Tw@z@W`@Sh@SzA?j@\pA@p@Mn@]`@c@tAYzAQlCCv@BDH}Ap@qDLg@@QUk@O_BToCh@}B?o@Iy@P]E]Qm@Y_@Qi@UiAPQk@sAs@}BIo@[gF@k@Qs@K_BFm@Za@d@MnAGd@?d@Hd@@b@Td@N~@l@ZXf@AZSXc@?uCPg@\[D?z@`AtEnEjC|AdChBdBhAz@|@FJrA~AXd@lClDzA~Ad@Pj@DlAEb@@`@FHn@HhFAp@Ep@Kt@?lCAj@Tf@?XC\Ud@QR?\Hf@Bl@DJCz@VpA\Rp@Gj@OrAaAj@U`@Kh@Gf@@d@Hb@Tb@`@Zf@Vh@Ph@JJdC]?HM\BRDMdATlA@jA~@j@DRf@FxAPn@Fl@Aj@Bp@Aj@@n@MnDBv@CfA@p@IdACn@FrCHh@Fp@Al@ANO\ApC\rF?jCGj@b@HhCFR@TFH@V`@J@R?zCQRBrAAd@?h@FnGAbBBTXH\,2
2863235617,4.723974488984331,1898,0:31:38,276,78.3,0.04125395152792413,33.78,-84.39,{}cmEvebbOEk@EMg@CU@A@wBMuBEmA@iACi@?i@CqADsGCg@@a@RGR]~GEdBMvAOb@N`BBjC[FmAA{CJoBGg@GWAoA?i@BcECqBBOAWK]LaHOe@@oA?mADgEBYGEqA@q@Ci@B}ACq@Im@e@LOhC@xADl@I|ADp@Jv@Rf@Lh@?FSROA?CEj@OJuBJICKOi@?YFKj@E@CXAl@P~AJl@h@nARn@Hl@Il@Md@OXQTC@u@sA]]_AeBWi@o@sBGe@D_BJeACKUUc@Wg@Ma@[s@eA_@e@OYJm@Bq@Ao@Bo@Ek@\FN]Ms@Gw@EgBGWJk@b@Ih@Fb@@d@DvBV?UIe@@o@b@[zAOLBDHAVRv@CVi@Vo@LCJGp@Mn@EHCj@Jp@d@NN@d@NPXOj@Il@Cp@AfCFxAIt@HrB?l@Gj@Bn@Nn@x@zB\p@d@?d@Y`@YXGV@XVVd@Dl@Lf@b@`FJDd@BbAEX[NmCBeACCE}AEm@Im@_@qAASf@ObEAr@El@FXEh@?h@B~A?FGb@Mh@?h@BxBDvCAnBHJEDo@?aBDKZ?lALd@@LDVCrBJpA@nCJfBAh@Cb@Ff@CF@rB?n@DjAEf@@ZH@d@U~AM|A?pBXPj@g@Ri@Ni@j@iA?s@FgAR_@P[b@Of@AD]@yDDg@\GhA@fD?n@Hb@EHq@@o@CaAKaCHo@GkAOo@[y@y@_BQg@SyAIkAuACCl@BT,1
2860690629,6.225083015191283,2543,0:42:23,816,178.5,0.0701926858041683,33.78,-84.39,s}cmEtdbbOFKb@?\@b@QHk@`@]`@Qj@@t@GhAAf@Gd@Kb@Sr@STe@As@Bq@ZGrAFdA@h@DrB^h@Of@Bp@R@]~AD~B@xCLp@@j@A\KfAa@b@Mj@CpAApBFjA?hABnACd@@tDINE?q@Bk@Aq@@gC@MvAIR@JHb@@TEr@Fd@JJoAA{ADcCIIBm@?qCQkCLa@f@aACm@q@eA_Aq@QGEO_@Yw@_@EKFqCH_BHgGJ}AB}@CS@m@D]?g@@k@Ho@BwC@_IC_B@s@@}AFaB@{AAs@Co@?k@Fi@DaBE{AHkDJGOq@KiC@s@Es@HUJGF[CeADo@EwD@_BIcI?q@Co@NuBC}AM_B@e@AKW@eBqDWa@qAwCiAqB}@_A][}AkAw@aAWe@Se@a@qAWoAsDoOUm@QHOk@IKc@E[[[k@Sg@BMd@URa@PeCFk@D_BCo@o@uDEm@Cs@Gm@Si@[a@Ui@@k@Fk@?oBgAIe@?oAGoA?mAAU?GT@tFFzA?fCIvDD|D?xDE|AAfCBt@KGKOUOSyAY_@c@Mi@DMJYd@[\c@Jc@AG@}@f@c@Jc@Dc@TUd@?NI`@QHKtDB~A?rE?NFJEh@Al@Dj@Hh@C\Lj@RJJj@Fp@`@lC?l@MvACnD[hFJNKh@YdCYhFAl@@j@NzAJn@HNBj@Jj@XzATbBZrAcEQmABsAGqB@qADkA@}BAmAFsBEmAHe@CC@KrCBnC?zAIV\pAa@Py@?qAGg@?CBCd@BtCEj@ElCFjC@~AGdB@|AAj@@bBChC@lAChC?l@MzALTG?Jn@Bl@Gl@Cn@JxA?l@Bl@Gp@@p@A~ACh@Eh@An@Dj@?l@^tBCJFVHBYd@Cp@Oh@Kr@B|A@HDBb@H^@`@Hf@Al@S`AFp@H,2
2858598604,5.19180485961982,2161,0:36:01,322,113.5,0.05252198056455345,33.78,-84.39,_~cmE`fbbOBm@FMXClABHIHi@Ta@`@Od@MjAIh@Ab@EfAUb@Md@IB}AFe@f@KhAIfABb@Df@Cd@Db@Tf@Uf@Cp@BHYDiCBiLCcCOk@VyA?g@BEf@CBBO_AAo@D{A?o@Eq@Os@N{A?_BG{A?s@Bq@Fq@AFGcAB}CCoBLk@Km@A}AGk@Ai@KcBRyABm@ByFCo@@GDI?Qb@Qj@@nACrA@rCOf@@lAH`ACtABjAD`DArBHrBMnAC`FXnA?rAClBBOWHPb@BbACb@Gd@Ab@UBEJ{A@m@?oBISCj@D`BEfCCLc@Le@EiFIoAAi@BsAE}CHmACkABwBCg@EoA@g@Cc@S?KLq@UWkA_@MUJk@CyA?kCEc@UMc@Oc@W_A_@Oh@?VEl@?p@Ir@Cj@GZi@DsDSQt@Cn@AjCCf@g@@qBEmAG@n@?JC?a@QyBKc@?}@CG\A`BCp@Gj@Bn@@dBGj@AfA?CHp@NhHH?{C]kAE_Ea@i@@i@I_DUU?CLkAIkAMi@AoAMe@C{Ba@e@@oACg@Bg@?c@AmAOe@AkAOc@MwCm@qB[CFErC@n@Dz@@xAKf@@l@GxA@j@L~AAt@S~@A`BQb@AHLt@Hv@Bn@XfBLh@Bj@Al@Ip@An@Bl@FPd@Mh@G^IHEpAWpAa@hCKH@FDlAOb@Cd@DLAf@NRJV@Fn@Kr@WbA?p@JLf@Ln@@`AHv@?v@GFDPX@n@QdA?Pi@dACZ@|AAt@BxBFl@Bl@Jv@Cp@BfCEbBLh@v@AT`@BL,2
2858078877,4.290692356637238,1795,0:29:55,130,94.2,0.05247910863509749,33.77,-84.41,oocmEtpdbO@FJa@ZSPk@Z_@Bc@T]Re@V_@La@Ng@Dm@Pk@Fm@PcAIMe@QqC{@a@YQe@Mk@^c@V_@Vc@Tk@XyAHaBFo@Ni@?o@XwADm@^gCVwANm@d@oAl@oAXa@^_@Ve@Do@SqCBi@d@Gf@Fd@JPEXa@BiBCm@?o@Fk@?m@Ho@?m@Do@@m@JyAIi@]]uAIiACe@Ii@Ai@KoAKg@Li@Ai@BmAKkADk@Ae@EIGaDFqAFoAJUEIk@Z}A?{ADs@Co@@MIk@?U?m@Hu@Y_@Da@Ue@Io@b@sCHq@@a@e@Cm@Ig@Wg@Ei@H}CPg@Ji@Fg@Gi@AYLBJEIqAWc@Cs@Fc@LYLQL]?k@GYMa@Rc@?g@Ee@B]JQ@aEGoAHe@P}AAkBRoAFg@?g@Dg@c@i@Gc@DS??l@El@YrB?RBVETTf@Mr@B|BFz@Cd@_@|A@p@Dj@DVPf@tBLd@A`@Bp@AjAFjAAd@Ef@@P@jBRj@?lAEd@@h@Dh@Ad@G^FDj@Ap@Hp@Pn@?rB~@DnACpE@lAGf@Df@@nA?jAIzBHjAGb@FNJBjAG~A@n@Gh@{@dAc@bA_@X[`@Sd@@@Gb@Ol@OzA?j@MjC?xADj@@p@En@El@]zAKn@Gn@Cp@MbBRh@lBrC`@XjAd@^`@b@Ff@BvGThAFhAChAY^\\RJDHNjBj@LHK\Sh@}@nDaAhDSb@o@bAKXf@R,1
2850151157,4.758212041676608,1958,0:32:38,405,88.8,0.045352400408580185,33.78,-84.39,m}cmE`ebbOQ][Wc@ACCe@J}CYsB?mAKc@Bg@Ie@@c@Yc@Ek@Ce@Bi@NoACiAGg@IUc@?s@Gk@CwAXo@De@OGLgCDmC?q@KwA?m@No@C_BBq@Am@Bq@Es@B_BI_A?m@Do@?o@I_Ec@mCEm@GQYOGKDIAA?{@K{A?e@D_DQoAAk@Eo@VaBEoAMO_@E]U[[Wi@m@I}@{@a@U[YsA_@aAk@SDKk@H{ANc@nAS`@Sp@?Ze@LGXc@Ho@@k@Dg@b@Qd@CJg@IGCH@n@V`@AZQj@En@Pf@^X^FFO@k@NaE?{AN_AS{AHo@@m@Iu@AgC@k@LaB?q@Uc@ICm@]c@CU]Ii@VOjABb@KHQCo@Im@Og@Ek@?s@Ho@Pm@Bk@Kq@Qc@a@Yc@@e@La@V[b@]xASj@[d@e@Pe@Ba@S[_@c@Wc@@e@L[Z[b@_@Tc@Cc@Mq@JKCCDWNg@Jg@Ag@GiADg@Fc@BoACg@Pi@Fe@M_@[Qk@We@e@Ik@?c@JY^Ql@Fh@Zd@\Zl@lAZXd@P`@^T^e@X`@H^VX\DZw@j@Wb@Al@tAdCGh@Kl@I`B@l@Fn@Pl@Tf@V^bAn@b@RfA^pBl@f@Hf@@j@ElAQ`@Kh@Af@J`@VX^Lh@Bj@IjCBD^ZdAl@~@v@z@|@VZBl@l@f@^T|BRb@LNLCbCCl@@j@KbCJn@A~ADhCHn@D~A\fCDr@I|ADjAG|AMj@Ej@ArAb@\WjBGp@?~AZTAn@BvBEp@Ij@JLE^AtBE|@?n@F^AzAJzD\TfBHhA?BH?VlADvBGtBFtBEb@@pAIh@B~@FNFj@Et@@DT@j@,1
